epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,8123.11,0.47801,0.42258,1.08784,0.93614,0.93364,0.9686,0.87638,0.4524,0.4699,0.81143,0.006139,0.006139,0.006139
80,8224.66,0.46902,0.4153,1.08158,0.94964,0.93698,0.96912,0.87927,0.44266,0.43595,0.77453,0.0060895,0.0060895,0.0060895
81,8327.86,0.47134,0.41949,1.08075,0.96279,0.94573,0.97576,0.88578,0.43098,0.36884,0.76801,0.00604,0.00604,0.00604
82,8430.56,0.47223,0.4116,1.08483,0.95701,0.95209,0.97639,0.88871,0.42463,0.34359,0.78962,0.0059905,0.0059905,0.0059905
83,8533.25,0.45726,0.40936,1.07459,0.9303,0.92515,0.9704,0.88686,0.43307,0.39366,0.76873,0.005941,0.005941,0.005941
84,8634.67,0.46557,0.41827,1.08184,0.90179,0.93196,0.95781,0.87347,0.44033,0.526,0.78202,0.0058915,0.0058915,0.0058915
85,8737.71,0.45271,0.3963,1.06999,0.91005,0.94597,0.96178,0.87515,0.43937,0.53135,0.78953,0.005842,0.005842,0.005842
86,8841.1,0.45884,0.40652,1.07181,0.92754,0.94698,0.9673,0.88393,0.42778,0.44044,0.74966,0.0057925,0.0057925,0.0057925
87,8944.07,0.45601,0.40262,1.07273,0.93582,0.95102,0.97229,0.8899,0.4288,0.4499,0.76113,0.005743,0.005743,0.005743
88,9049.92,0.4535,0.39005,1.0702,0.91296,0.9464,0.96036,0.87866,0.44868,0.54378,0.80209,0.0056935,0.0056935,0.0056935
89,9155.02,0.4497,0.38705,1.06721,0.91593,0.95295,0.9631,0.87879,0.44589,0.53361,0.82261,0.005644,0.005644,0.005644
90,9258.23,0.45153,0.38607,1.071,0.94756,0.94556,0.97288,0.89339,0.43031,0.48426,0.79754,0.0055945,0.0055945,0.0055945
91,9363.63,0.45282,0.39078,1.07189,0.96928,0.95483,0.97826,0.89447,0.41428,0.38023,0.76264,0.005545,0.005545,0.005545
92,9468.67,0.44746,0.39028,1.06681,0.96797,0.9572,0.97571,0.89662,0.41388,0.36762,0.77001,0.0054955,0.0054955,0.0054955
93,9574.16,0.44087,0.38043,1.0632,0.96897,0.95243,0.97747,0.89832,0.40837,0.39118,0.75773,0.005446,0.005446,0.005446
94,9682.76,0.43702,0.3815,1.06638,0.96397,0.957,0.97674,0.89618,0.40792,0.36714,0.75513,0.0053965,0.0053965,0.0053965
95,9786.47,0.43578,0.37687,1.0579,0.96871,0.95894,0.97577,0.88241,0.40537,0.34067,0.74013,0.005347,0.005347,0.005347
96,9888.84,0.43652,0.37568,1.05993,0.97204,0.95354,0.97443,0.88242,0.40001,0.34381,0.73477,0.0052975,0.0052975,0.0052975
97,9992.7,0.43554,0.36334,1.05678,0.96852,0.95947,0.9764,0.88714,0.39689,0.33595,0.74244,0.005248,0.005248,0.005248
98,10097,0.43655,0.36762,1.0663,0.96159,0.95311,0.97515,0.88942,0.39722,0.35,0.74487,0.0051985,0.0051985,0.0051985
99,10199.9,0.43266,0.37406,1.05867,0.96442,0.93228,0.97281,0.88717,0.39576,0.34624,0.76202,0.005149,0.005149,0.005149
100,10302.3,0.4349,0.3818,1.06371,0.95266,0.94613,0.97602,0.89631,0.39204,0.3385,0.75612,0.0050995,0.0050995,0.0050995
101,10405.1,0.43204,0.36688,1.06234,0.95346,0.95871,0.9782,0.89964,0.39168,0.35391,0.75398,0.00505,0.00505,0.00505
102,10508.5,0.4298,0.35708,1.06006,0.95419,0.95978,0.97576,0.8998,0.38801,0.34204,0.75635,0.0050005,0.0050005,0.0050005
103,10611,0.43519,0.37568,1.05748,0.94579,0.96098,0.97542,0.89953,0.38626,0.34719,0.75038,0.004951,0.004951,0.004951
104,10714.3,0.42909,0.35838,1.05879,0.95647,0.95022,0.97433,0.89782,0.38774,0.33565,0.75767,0.0049015,0.0049015,0.0049015
105,10818.4,0.42049,0.35488,1.04943,0.94963,0.9634,0.97794,0.90041,0.38155,0.29523,0.74577,0.004852,0.004852,0.004852
106,10923.7,0.41385,0.35576,1.05363,0.9654,0.94895,0.97884,0.90358,0.38601,0.3319,0.75267,0.0048025,0.0048025,0.0048025
107,11028,0.42812,0.35645,1.05987,0.96041,0.94738,0.97847,0.90317,0.3814,0.33469,0.74255,0.004753,0.004753,0.004753
108,11132.1,0.42105,0.35066,1.0551,0.95926,0.94948,0.97708,0.9016,0.38321,0.33636,0.74333,0.0047035,0.0047035,0.0047035
109,11235.1,0.42074,0.35223,1.05344,0.97195,0.9503,0.9777,0.89955,0.38551,0.34889,0.74787,0.004654,0.004654,0.004654
110,11337.1,0.42334,0.34884,1.05499,0.96273,0.95515,0.97892,0.89561,0.39635,0.34988,0.75794,0.0046045,0.0046045,0.0046045
111,11440.2,0.4158,0.34915,1.04951,0.96446,0.95357,0.97717,0.89635,0.39426,0.35056,0.74916,0.004555,0.004555,0.004555
112,11543.6,0.40793,0.34455,1.04649,0.93877,0.95611,0.97828,0.88962,0.38949,0.35588,0.74015,0.0045055,0.0045055,0.0045055
113,11646.1,0.41158,0.36915,1.04349,0.93218,0.95026,0.97248,0.87822,0.3842,0.35585,0.74091,0.004456,0.004456,0.004456
114,11748.9,0.40888,0.34089,1.04548,0.93856,0.94897,0.97703,0.88237,0.3841,0.33449,0.74081,0.0044065,0.0044065,0.0044065
115,11851.6,0.40971,0.34287,1.0452,0.97006,0.95523,0.97796,0.89161,0.38838,0.30035,0.74729,0.004357,0.004357,0.004357
